x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter_id,bat_handR
70.496506,103.04796,30.731056,150.39218,-74.924774,118.90614,-26.232561,151.80637,-138.28152,262.2431,8.9316225,336.34106,136.29797,259.86096,519303,1
65.18312,103.61022,22.62487,152.76654,-72.40835,121.998215,-29.413471,150.83188,-135.99037,272.5545,6.9001365,339.8694,133.84633,263.97946,519317,1
62.49347,103.623566,13.854384,154.48434,-75.45135,118.2243,-36.48696,148.21375,-143.05888,267.53125,2.9316046,338.91772,130.35583,266.01926,521692,1
65.64833,103.58955,10.855254,154.87778,-76.440186,116.90831,-39.46082,146.91669,-148.42883,262.4567,-5.9835286,329.8471,126.278275,258.4317,527038,1
69.36834,103.2277,26.363956,151.76852,-73.54457,120.63481,-30.81837,150.36227,-132.887,263.03928,6.29299,330.57245,132.23738,258.20154,534606,1
63.37453,103.639114,13.639204,154.51581,-73.428696,120.77625,-36.756382,148.1012,-133.51028,270.04016,16.558378,338.96198,129.75494,262.18585,541645,1
68.32255,103.364975,18.461609,153.68889,-73.5761,120.59624,-35.457226,148.63504,-141.35448,267.73105,7.4761214,329.90045,133.37468,250.00227,541650,1
70.00076,103.13102,24.81934,152.20059,-74.06585,119.9916,-31.646633,150.07394,-134.79344,268.8692,9.81077,342.40723,131.22087,265.14932,542194,1
59.66125,103.44162,0.0,155.5,-77.99346,114.7404,-46.623642,143.27219,-150.83096,256.40112,-11.376633,332.3364,123.65633,262.5667,542208,1
63.93342,103.638916,18.813215,153.61853,-76.23067,117.19115,-35.71405,148.53128,-144.34908,273.0143,3.3547077,339.71872,130.88205,264.933,542303,1
77.18373,101.27731,49.5182,141.57372,-62.015163,132.4661,0.0,155.5,-127.12614,258.97644,5.9452763,326.4448,144.04938,247.16241,542364,0
65.24135,103.607925,16.568474,154.04404,-76.34928,117.031296,-34.759598,148.9125,-140.86557,265.70273,4.8875155,336.0391,133.86264,257.4216,542583,1
70.752815,103.0025,32.27621,149.84901,-69.49975,125.26716,-21.155867,153.11441,-127.91924,264.88205,17.6792,325.58154,133.45541,257.9372,542932,1
76.0246,101.674484,46.27237,143.46909,-60.274715,133.92996,-1.7833195,155.48326,-117.922455,256.61676,5.757852,317.2672,135.50084,246.13177,542963,0
74.6456,102.09617,46.68725,143.23633,-60.474266,133.7657,0.0,155.5,-132.65822,267.71158,-1.6641809,332.55508,141.34494,255.03215,543063,0
