"launch_angle","launch_speed","spray_angle","bat_side","t","x","y"
-33,41.2,65.290164464991,"R",0.170184562929665,7.74664374429942,3.45430739054393
-39,62.4,15.3912433142824,"R",0.101695227385121,1.91831013593979,6.85202719472509
36,81.4,-16.5128864250508,"R",5.12334899443105,-105.443659514552,285.892451597817
12,91.5,-1.51485875550744,"L",2.24754037826926,-26.4403883487913,233.888247915721
53,88.1,-5.69146440695284,"L",6.24013034100913,-48.3636449118168,228.353417571803
13,104.8,27.4156007732437,"R",2.6651714721538,178.742248320441,219.032245217135
-15,93.5,23.0424801432353,"L",0.154935013445708,7.94556887146892,18.385219850791
-8,91.5,-21.6584392032825,"L",0.259174944243731,-12.9197423162723,30.6209070142433
83,88.1,-2.17879128499834,"R",6.23065996166787,6.6879484874931,-22.9924664874021
16,105.5,22.1289470986596,"L",3.07399359167201,163.771524343023,284.139547251577
7,86.8,-5.55182593948771,"R",1.2383327924305,-10.4225031157814,138.768825448507
16,82.6,29.8830395414014,"L",2.32125961908203,131.659281564955,171.061680412282
24,96.3,25.6830394423778,"L",4.24991027370811,208.972169590084,290.229762269651
-22,91.4,-12.3336222794186,"L",0.114893569740029,-3.0776235744118,13.6720616346248
-20,68.9,-34.3716447257676,"R",0.160299104171207,-8.50160675639802,12.2299221172678
-17,89.3,-17.4733970199301,"R",0.14544069231491,-5.40347170956476,16.9738034738402
-46,73.3,24.8705731144989,"L",0.0767399007861383,2.38149456559739,5.10786777835622
-54,75.9,-17.9051844352435,"R",0.0662272598769138,-1.31418881240712,4.05124130110014
21,83.3,-28.8736803878321,"L",3.27448746043122,-170.048398066898,199.955861176387
-10,106.8,-19.1985661359238,"R",0.190150396212425,-9.52133591800528,26.8090817117251
-36,72.9,27.2565639588005,"L",0.0934862522900097,3.66232324218942,7.05574840100453
-26,84.5,23.7663242486578,"L",0.10679029936277,4.74230759894566,10.6712118262769
-6,85.2,-24.8750769207049,"R",0.307182785442294,-15.9190181690344,33.0957717044955
-14,95.5,-13.9169331600306,"R",0.160713241545484,-5.17318166210344,20.672780100982
7,99.1,-25.8795977599074,"R",1.20811632237563,-75.4145578827971,130.681235890284
-1,99.1,9.64266511349382,"L",0.471753192071901,10.9092245285232,63.7371566940911
4,102.1,27.7188246866347,"R",1.07611390777263,75.9348956838606,115.186981002383
4,96.3,25.867210811008,"L",0.849337533771708,51.8303701291952,94.6535158693284
3,93.8,21.5649269331769,"R",0.895916866817456,47.8088862583047,98.7536063180285
5,93.9,-18.6480529537261,"L",1.1363973145912,-54.4843909610096,124.046760583132
-2,88.7,14.4165504567607,"L",0.435354776550494,13.8602681027645,51.9986138677593
38,73.2,-18.1166572736125,"L",4.58745303470552,-111.95979278295,222.442394442023
19,104.4,-33.0223416475146,"R",3.32123568918123,-233.233124561685,234.27881701186
-16,87.2,-24.6671221328264,"R",0.156234652931721,-7.93202772877688,16.9989424157304
40,37.1,-44.4832809469548,"R",2.42569939432853,-66.2505696825206,58.1567292677799
-43,75.5,-25.8131954079979,"R",0.0784837652506017,-2.73568218005488,5.62121429124395
39,90.4,29.8860629533034,"L",5.61602874527513,211.769214856996,248.68351440937
3,93.1,-14.6070318043788,"L",0.871521514689205,-33.4913654022941,101.492109164151
11,78.4,1.4308226022422,"R",1.79322375878478,16.0642204582009,171.530728321322
16,97.4,3.13409853703459,"R",3.2391274643524,55.6511335623039,313.413424296274
46,90,39.244201294763,"R",5.69455068790862,217.378795537515,156.985218730127
43,96.7,12.6296324153263,"R",6.23859404486137,123.090416585076,295.258748563236
6,94,-33.9503334420426,"R",1.04734491441052,-78.269564723863,99.0772083005429
-29,79.7,-31.7996452621843,"R",0.102880855129739,-5.48248187290519,8.75464341168626
-21,82.9,18.0902959849199,"L",0.130302569976933,4.53933776436695,13.7660458755738
31,93.2,-10.8703560157767,"R",5.42632514932457,-77.7592445154994,364.862090732082
-5,107.1,-11.5863904797585,"R",0.293264439697116,-8.95878340476746,43.0673802268384
-11,95.9,-26.7233640205401,"R",0.193484788873581,-11.8809375741043,23.0537176259264
40,89.6,-1.56125014739624,"R",5.86942064644104,12.1642476007461,320.993834026464
39,97.7,15.7101137552691,"R",5.99551136652307,155.924672244712,304.15733890842
28,98.9,-1.96634081032796,"L",5.32120789001357,-60.6279085942639,389.980182790537
-1,102.3,10.9444257799233,"R",0.507665804293185,15.9398839573949,69.2908050984458
